Dist_0001	Dist_0036
Dist_0002	Dist_0037
Dist_0003	Dist_0038
Dist_0003	Dist_0039
Dist_0004	Dist_0040
Dist_0005	Dist_0041
Dist_0005	Dist_0042
Dist_0006	Dist_0043
Dist_0006	Dist_0044
Dist_0007	Dist_0045
Dist_0007	Dist_0046
Dist_0008	Dist_0047
Dist_0009	Dist_0048
Dist_0010	Dist_0049
Dist_0011	Dist_0050
Dist_0012	Dist_0051
Dist_0013	Dist_0052
Dist_0014	Dist_0053
Dist_0014	Dist_0054
Dist_0015	Dist_0055
Dist_0016	Dist_0056
Dist_0017	Dist_0057
Dist_0018	Dist_0058
Dist_0018	Dist_0059
Dist_0019	Dist_0060
Dist_0019	Dist_0061
Dist_0020	Dist_0062
Dist_0021	Dist_0063
Dist_0022	Dist_0064
Dist_0023	Dist_0065
Dist_0024	Dist_0066
Dist_0025	Dist_0067
Dist_0026	Dist_0068
Dist_0027	Dist_0069
Dist_0028	Dist_0070
Dist_0029	Dist_0071
Dist_0030	Dist_0072
Dist_0031	Dist_0073
Dist_0032	Dist_0074
Dist_0033	Dist_0075
Dist_0034	Dist_0076
Dist_0035	Dist_0077
Manuf_0001	Manuf_0010
Manuf_0002	Manuf_0023
Manuf_0003	Manuf_0024
Manuf_0004	Manuf_0027
Manuf_0005	Manuf_0029
Manuf_0005	Manuf_0030
Manuf_0005	Manuf_0031
Manuf_0006	Manuf_0029
Manuf_0007	Manuf_0029
Manuf_0007	Manuf_0030
Manuf_0008	Manuf_0031
Manuf_0009	Manuf_0030
Manuf_0009	Manuf_0031
Manuf_0010	Manuf_0032
Manuf_0011	Manuf_0032
Manuf_0011	Manuf_0033
Manuf_0011	Manuf_0034
Manuf_0011	Manuf_0035
Manuf_0011	Manuf_0036
Manuf_0011	Manuf_0037
Manuf_0011	Manuf_0038
Manuf_0011	Manuf_0039
Manuf_0011	Manuf_0040
Manuf_0011	Manuf_0041
Manuf_0011	Manuf_0042
Manuf_0011	Manuf_0043
Manuf_0011	Manuf_0044
Manuf_0011	Manuf_0045
Manuf_0011	Manuf_0047
Manuf_0011	Manuf_0048
Manuf_0012	Manuf_0046
Manuf_0013	Manuf_0039
Manuf_0014	Manuf_0032
Manuf_0015	Manuf_0032
Manuf_0016	Manuf_0035
Manuf_0016	Manuf_0036
Manuf_0017	Manuf_0046
Manuf_0018	Manuf_0032
Manuf_0018	Manuf_0033
Manuf_0018	Manuf_0034
Manuf_0018	Manuf_0035
Manuf_0018	Manuf_0036
Manuf_0018	Manuf_0037
Manuf_0018	Manuf_0038
Manuf_0018	Manuf_0039
Manuf_0018	Manuf_0040
Manuf_0018	Manuf_0041
Manuf_0018	Manuf_0042
Manuf_0018	Manuf_0043
Manuf_0018	Manuf_0044
Manuf_0018	Manuf_0045
Manuf_0018	Manuf_0047
Manuf_0018	Manuf_0048
Manuf_0019	Manuf_0032
Manuf_0019	Manuf_0033
Manuf_0019	Manuf_0034
Manuf_0019	Manuf_0040
Manuf_0019	Manuf_0041
Manuf_0019	Manuf_0043
Manuf_0019	Manuf_0046
Manuf_0019	Manuf_0047
Manuf_0019	Manuf_0048
Manuf_0020	Manuf_0034
Manuf_0020	Manuf_0035
Manuf_0020	Manuf_0036
Manuf_0020	Manuf_0037
Manuf_0020	Manuf_0038
Manuf_0020	Manuf_0039
Manuf_0020	Manuf_0043
Manuf_0020	Manuf_0044
Manuf_0020	Manuf_0045
Manuf_0020	Manuf_0046
Manuf_0021	Manuf_0032
Manuf_0021	Manuf_0033
Manuf_0021	Manuf_0047
Manuf_0022	Manuf_0040
Manuf_0022	Manuf_0041
Manuf_0022	Manuf_0042
Manuf_0022	Manuf_0048
Manuf_0023	Manuf_0044
Manuf_0024	Manuf_0045
Manuf_0025	Manuf_0032
Manuf_0025	Manuf_0033
Manuf_0025	Manuf_0034
Manuf_0025	Manuf_0035
Manuf_0025	Manuf_0036
Manuf_0025	Manuf_0040
Manuf_0025	Manuf_0041
Manuf_0025	Manuf_0042
Manuf_0025	Manuf_0043
Manuf_0025	Manuf_0046
Manuf_0025	Manuf_0047
Manuf_0025	Manuf_0048
Manuf_0026	Manuf_0040
Manuf_0026	Manuf_0041
Manuf_0026	Manuf_0042
Manuf_0026	Manuf_0043
Manuf_0026	Manuf_0046
Manuf_0026	Manuf_0048
Manuf_0027	Manuf_0037
Manuf_0027	Manuf_0038
Manuf_0027	Manuf_0039
Manuf_0028	Manuf_0032
Manuf_0028	Manuf_0033
Manuf_0028	Manuf_0034
Manuf_0028	Manuf_0035
Manuf_0028	Manuf_0047
Manuf_0029	Manuf_0046
Manuf_0030	Manuf_0034
Manuf_0030	Manuf_0035
Manuf_0030	Manuf_0036
Manuf_0030	Manuf_0037
Manuf_0030	Manuf_0038
Manuf_0030	Manuf_0039
Manuf_0030	Manuf_0043
Manuf_0030	Manuf_0044
Manuf_0030	Manuf_0045
Manuf_0031	Manuf_0032
Manuf_0031	Manuf_0033
Manuf_0031	Manuf_0040
Manuf_0031	Manuf_0041
Manuf_0031	Manuf_0042
Manuf_0031	Manuf_0047
Manuf_0031	Manuf_0048
Manuf_0032	Dist_0001
Manuf_0032	Dist_0002
Manuf_0033	Dist_0003
Manuf_0033	Dist_0004
Manuf_0033	Dist_0005
Manuf_0034	Dist_0006
Manuf_0034	Dist_0007
Manuf_0035	Dist_0008
Manuf_0035	Dist_0009
Manuf_0036	Dist_0010
Manuf_0036	Dist_0011
Manuf_0037	Dist_0012
Manuf_0037	Dist_0013
Manuf_0038	Dist_0014
Manuf_0038	Dist_0015
Manuf_0039	Dist_0016
Manuf_0039	Dist_0017
Manuf_0040	Dist_0018
Manuf_0040	Dist_0019
Manuf_0041	Dist_0020
Manuf_0041	Dist_0021
Manuf_0042	Dist_0022
Manuf_0042	Dist_0023
Manuf_0043	Dist_0024
Manuf_0043	Dist_0025
Manuf_0044	Dist_0026
Manuf_0044	Dist_0027
Manuf_0045	Dist_0028
Manuf_0045	Dist_0029
Manuf_0046	Dist_0030
Manuf_0046	Dist_0031
Manuf_0047	Dist_0032
Manuf_0047	Dist_0033
Manuf_0048	Dist_0034
Manuf_0048	Dist_0035
Part_0001	Manuf_0001
Part_0001	Manuf_0011
Part_0001	Manuf_0012
Part_0001	Manuf_0017
Part_0001	Manuf_0018
Part_0001	Manuf_0032
Part_0002	Manuf_0003
Part_0002	Manuf_0023
Part_0002	Manuf_0025
Part_0002	Manuf_0027
Part_0002	Manuf_0032
Part_0002	Manuf_0033
Part_0002	Manuf_0034
Part_0002	Manuf_0035
Part_0002	Manuf_0036
Part_0002	Manuf_0037
Part_0002	Manuf_0038
Part_0002	Manuf_0039
Part_0002	Manuf_0040
Part_0002	Manuf_0041
Part_0002	Manuf_0042
Part_0002	Manuf_0043
Part_0002	Manuf_0044
Part_0002	Manuf_0045
Part_0002	Manuf_0046
Part_0002	Manuf_0047
Part_0002	Manuf_0048
Part_0003	Manuf_0024
Part_0003	Manuf_0027
Part_0003	Manuf_0032
Part_0003	Manuf_0033
Part_0003	Manuf_0034
Part_0003	Manuf_0035
Part_0003	Manuf_0036
Part_0003	Manuf_0037
Part_0003	Manuf_0038
Part_0003	Manuf_0039
Part_0003	Manuf_0040
Part_0003	Manuf_0041
Part_0003	Manuf_0042
Part_0003	Manuf_0043
Part_0003	Manuf_0044
Part_0003	Manuf_0046
Part_0003	Manuf_0047
Part_0003	Manuf_0048
Part_0004	Manuf_0023
Part_0004	Manuf_0044
Part_0005	Manuf_0027
Part_0005	Manuf_0037
Part_0005	Manuf_0038
Part_0005	Manuf_0039
Part_0006	Manuf_0003
Part_0006	Manuf_0025
Part_0006	Manuf_0032
Part_0006	Manuf_0033
Part_0006	Manuf_0034
Part_0006	Manuf_0035
Part_0006	Manuf_0036
Part_0006	Manuf_0040
Part_0006	Manuf_0041
Part_0006	Manuf_0042
Part_0006	Manuf_0043
Part_0006	Manuf_0045
Part_0006	Manuf_0046
Part_0006	Manuf_0047
Part_0006	Manuf_0048
Part_0007	Manuf_0001
Part_0007	Manuf_0005
Part_0007	Manuf_0032
Part_0008	Manuf_0002
Part_0009	Manuf_0002
Part_0010	Manuf_0003
Part_0011	Manuf_0003
Part_0012	Manuf_0003
Part_0012	Manuf_0025
Part_0013	Manuf_0003
Part_0013	Manuf_0025
Part_0014	Manuf_0004
Part_0015	Manuf_0004
Part_0016	Manuf_0029
Part_0016	Manuf_0030
Part_0016	Manuf_0031
Part_0017	Manuf_0007
Part_0017	Manuf_0029
Part_0017	Manuf_0030
Part_0017	Manuf_0031
Part_0018	Manuf_0007
Part_0019	Manuf_0007
Part_0019	Manuf_0008
Part_0020	Manuf_0007
Part_0020	Manuf_0008
Part_0021	Manuf_0007
Part_0021	Manuf_0008
Part_0022	Manuf_0008
Part_0023	Manuf_0009
Part_0024	Manuf_0010
Part_0025	Manuf_0011
Part_0025	Manuf_0012
Part_0026	Manuf_0013
Part_0027	Manuf_0013
Part_0028	Manuf_0013
Part_0029	Manuf_0014
Part_0029	Manuf_0015
Part_0030	Manuf_0016
Part_0031	Manuf_0016
Part_0031	Manuf_0019
Part_0032	Manuf_0016
Part_0032	Manuf_0019
Part_0033	Manuf_0006
Part_0033	Manuf_0017
Part_0033	Manuf_0018
Part_0034	Manuf_0016
Part_0034	Manuf_0019
Part_0035	Manuf_0019
Part_0036	Manuf_0020
Part_0036	Manuf_0021
Part_0036	Manuf_0022
Part_0037	Manuf_0020
Part_0037	Manuf_0021
Part_0037	Manuf_0022
Part_0038	Manuf_0020
Part_0038	Manuf_0022
Part_0039	Manuf_0020
Part_0039	Manuf_0021
Part_0039	Manuf_0022
Part_0040	Manuf_0020
Part_0040	Manuf_0021
Part_0040	Manuf_0022
Part_0041	Manuf_0020
Part_0041	Manuf_0021
Part_0041	Manuf_0022
Part_0042	Manuf_0020
Part_0043	Manuf_0021
Part_0044	Manuf_0020
Part_0044	Manuf_0021
Part_0044	Manuf_0022
Part_0045	Manuf_0020
Part_0045	Manuf_0021
Part_0045	Manuf_0022
Part_0046	Manuf_0020
Part_0046	Manuf_0021
Part_0046	Manuf_0022
Part_0047	Manuf_0020
Part_0047	Manuf_0021
Part_0047	Manuf_0022
Part_0048	Manuf_0020
Part_0048	Manuf_0021
Part_0048	Manuf_0022
Part_0049	Manuf_0020
Part_0049	Manuf_0021
Part_0049	Manuf_0022
Part_0050	Manuf_0020
Part_0050	Manuf_0021
Part_0050	Manuf_0022
Part_0051	Manuf_0021
Part_0051	Manuf_0022
Part_0052	Manuf_0023
Part_0052	Manuf_0027
Part_0053	Manuf_0023
Part_0054	Manuf_0023
Part_0054	Manuf_0027
Part_0055	Manuf_0024
Part_0056	Manuf_0025
Part_0057	Manuf_0026
Part_0058	Manuf_0019
Part_0058	Manuf_0026
Part_0058	Manuf_0028
Part_0059	Manuf_0027
Part_0060	Manuf_0023
Part_0060	Manuf_0027
Part_0061	Manuf_0023
Part_0061	Manuf_0027
Part_0062	Manuf_0027
Part_0063	Manuf_0027
Part_0064	Manuf_0027
Part_0065	Manuf_0027
Part_0066	Manuf_0027
Part_0067	Manuf_0027
Part_0068	Manuf_0028
Part_0069	Manuf_0028
Part_0070	Manuf_0029
Part_0070	Manuf_0030
Part_0070	Manuf_0031
Part_0071	Manuf_0029
Part_0071	Manuf_0030
Part_0071	Manuf_0031
Part_0072	Manuf_0029
Part_0072	Manuf_0030
Part_0073	Manuf_0029
Part_0073	Manuf_0030
Part_0073	Manuf_0031
Part_0074	Manuf_0031
Part_0075	Manuf_0032
Part_0076	Manuf_0032
Part_0077	Manuf_0032
Part_0078	Manuf_0032
Part_0079	Manuf_0032
Part_0080	Manuf_0033
Part_0081	Manuf_0033
Part_0082	Manuf_0032
Part_0082	Manuf_0035
Part_0082	Manuf_0048
Part_0083	Manuf_0032
Part_0083	Manuf_0033
Part_0083	Manuf_0047
Part_0084	Manuf_0035
Part_0084	Manuf_0036
Part_0085	Manuf_0032
Part_0085	Manuf_0033
Part_0085	Manuf_0047
Part_0086	Manuf_0032
Part_0086	Manuf_0033
Part_0086	Manuf_0047
Part_0087	Manuf_0034
Part_0088	Manuf_0034
Part_0089	Manuf_0034
Part_0089	Manuf_0035
Part_0090	Manuf_0035
Part_0091	Manuf_0035
Part_0092	Manuf_0035
Part_0093	Manuf_0035
Part_0094	Manuf_0035
Part_0095	Manuf_0035
Part_0095	Manuf_0036
Part_0096	Manuf_0036
Part_0097	Manuf_0036
Part_0098	Manuf_0037
Part_0099	Manuf_0037
