Manuf_0001	Retail_0001
Manuf_0002	Retail_0002
Manuf_0003	Retail_0003
Manuf_0004	Retail_0004
Manuf_0005	Retail_0005
Manuf_0006	Manuf_0654
Manuf_0006	Manuf_0655
Manuf_0006	Manuf_0657
Manuf_0006	Manuf_0664
Manuf_0006	Manuf_0666
Manuf_0006	Manuf_0671
Manuf_0006	Retail_0006
Manuf_0007	Manuf_0658
Manuf_0007	Manuf_0662
Manuf_0007	Manuf_0663
Manuf_0007	Retail_0007
Manuf_0008	Manuf_0661
Manuf_0008	Manuf_0665
Manuf_0008	Manuf_0667
Manuf_0008	Manuf_0672
Manuf_0008	Retail_0008
Manuf_0009	Manuf_0656
Manuf_0009	Retail_0009
Manuf_0010	Retail_0010
Manuf_0011	Retail_0011
Manuf_0012	Retail_0012
Manuf_0013	Retail_0013
Manuf_0014	Retail_0014
Manuf_0015	Retail_0015
Manuf_0016	Retail_0016
Manuf_0017	Manuf_0659
Manuf_0017	Manuf_0669
Manuf_0017	Retail_0017
Manuf_0018	Retail_0018
Manuf_0019	Retail_0019
Manuf_0020	Manuf_0660
Manuf_0020	Retail_0020
Manuf_0021	Retail_0021
Manuf_0022	Retail_0022
Manuf_0023	Retail_0023
Manuf_0024	Manuf_0670
Manuf_0024	Retail_0024
Manuf_0025	Retail_0025
Manuf_0026	Retail_0026
Manuf_0027	Manuf_0668
Manuf_0027	Retail_0027
Manuf_0028	Retail_0028
Manuf_0029	Retail_0029
Manuf_0030	Retail_0030
Manuf_0031	Retail_0031
Manuf_0032	Retail_0032
Manuf_0033	Retail_0033
Manuf_0034	Manuf_0593
Manuf_0034	Manuf_0616
Manuf_0034	Manuf_0629
Manuf_0034	Retail_0034
Manuf_0035	Manuf_0594
Manuf_0035	Manuf_0600
Manuf_0035	Manuf_0602
Manuf_0035	Manuf_0604
Manuf_0035	Manuf_0607
Manuf_0035	Manuf_0609
Manuf_0035	Manuf_0611
Manuf_0035	Manuf_0617
Manuf_0035	Manuf_0618
Manuf_0035	Manuf_0622
Manuf_0035	Manuf_0634
Manuf_0035	Manuf_0637
Manuf_0035	Retail_0035
Manuf_0036	Manuf_0592
Manuf_0036	Manuf_0601
Manuf_0036	Manuf_0608
Manuf_0036	Manuf_0613
Manuf_0036	Manuf_0619
Manuf_0036	Manuf_0641
Manuf_0036	Manuf_0642
Manuf_0036	Retail_0036
Manuf_0037	Retail_0037
Manuf_0038	Manuf_0633
Manuf_0038	Manuf_0639
