Manuf_0001	Trans_0001
Manuf_0002	Manuf_0006
Manuf_0002	Manuf_0022
Manuf_0003	Manuf_0014
Manuf_0004	Manuf_0015
Manuf_0005	Manuf_0016
Manuf_0006	Manuf_0020
Manuf_0006	Manuf_0021
Manuf_0006	Trans_0016
Manuf_0007	Trans_0006
Manuf_0008	Trans_0023
Manuf_0009	Trans_0024
Manuf_0010	Manuf_0025
Manuf_0011	Trans_0007
Manuf_0012	Trans_0008
Manuf_0013	Trans_0009
Manuf_0014	Trans_0010
Manuf_0015	Trans_0011
Manuf_0016	Trans_0012
Manuf_0017	Trans_0013
Manuf_0018	Trans_0014
Manuf_0019	Trans_0015
Manuf_0020	Trans_0017
Manuf_0021	Trans_0018
Manuf_0022	Trans_0019
Manuf_0023	Trans_0021
Manuf_0024	Trans_0022
Manuf_0025	Trans_0026
Manuf_0026	Trans_0027
Manuf_0027	Trans_0028
Manuf_0028	Trans_0030
Manuf_0029	Trans_0031
Manuf_0030	Trans_0033
Manuf_0031	Trans_0034
Manuf_0032	Trans_0035
Manuf_0033	Trans_0037
Manuf_0034	Trans_0039
Manuf_0035	Trans_0040
Manuf_0036	Trans_0041
Manuf_0037	Trans_0042
Manuf_0038	Manuf_0042
Manuf_0038	Manuf_0044
Manuf_0038	Manuf_0046
Manuf_0038	Manuf_0047
Manuf_0039	Manuf_0052
Manuf_0039	Manuf_0053
Manuf_0040	Manuf_0056
Manuf_0041	Manuf_0052
Manuf_0041	Manuf_0053
Manuf_0041	Manuf_0054
Manuf_0041	Manuf_0055
Manuf_0041	Manuf_0056
Manuf_0042	Manuf_0052
Manuf_0042	Manuf_0053
Manuf_0043	Manuf_0054
Manuf_0044	Manuf_0056
Manuf_0045	Manuf_0055
Manuf_0046	Manuf_0054
Manuf_0047	Manuf_0055
Manuf_0048	Manuf_0055
Manuf_0049	Manuf_0056
Manuf_0050	Manuf_0053
Manuf_0050	Manuf_0054
Manuf_0051	Manuf_0056
Manuf_0052	Dist_0001
Manuf_0052	Dist_0002
Manuf_0052	Dist_0003
Manuf_0053	Dist_0004
Manuf_0053	Dist_0005
Manuf_0053	Dist_0006
Manuf_0054	Dist_0007
Manuf_0054	Dist_0008
Manuf_0054	Dist_0009
Manuf_0055	Dist_0010
Manuf_0055	Dist_0011
Manuf_0055	Dist_0012
Manuf_0056	Dist_0013
Manuf_0056	Dist_0014
Manuf_0056	Dist_0015
Part_0001	Manuf_0001
Part_0002	Manuf_0002
Part_0003	Trans_0002
Part_0004	Manuf_0003
Part_0004	Manuf_0004
Part_0004	Manuf_0005
Part_0005	Manuf_0039
Part_0005	Trans_0003
Part_0006	Manuf_0007
Part_0006	Manuf_0008
Part_0006	Manuf_0023
Part_0006	Trans_0020
Part_0007	Manuf_0009
Part_0007	Manuf_0010
Part_0007	Manuf_0024
Part_0007	Trans_0025
Part_0008	Manuf_0010
Part_0008	Manuf_0026
Part_0008	Manuf_0027
Part_0008	Trans_0029
Part_0009	Manuf_0010
Part_0009	Manuf_0028
Part_0009	Manuf_0029
Part_0009	Trans_0032
Part_0010	Trans_0004
Part_0011	Manuf_0012
Part_0012	Manuf_0013
Part_0013	Manuf_0014
Part_0013	Manuf_0015
Part_0013	Manuf_0016
Part_0014	Trans_0005
Part_0015	Manuf_0030
Part_0015	Manuf_0031
Part_0015	Manuf_0032
Part_0015	Trans_0036
Part_0016	Manuf_0034
Part_0017	Manuf_0035
Part_0017	Manuf_0036
Part_0017	Manuf_0037
Part_0018	Manuf_0039
Part_0018	Manuf_0055
Part_0019	Trans_0038
Part_0020	Manuf_0041
Part_0021	Manuf_0041
Part_0022	Manuf_0041
Part_0023	Manuf_0042
Part_0024	Manuf_0042
Part_0024	Manuf_0044
Part_0024	Manuf_0046
Part_0024	Manuf_0047
Part_0025	Manuf_0044
Part_0025	Manuf_0046
Part_0025	Manuf_0047
Part_0026	Manuf_0042
Part_0026	Manuf_0043
Part_0026	Manuf_0044
Part_0026	Manuf_0045
Part_0026	Manuf_0046
Part_0026	Manuf_0047
Part_0026	Manuf_0051
Part_0026	Manuf_0055
Part_0026	Manuf_0056
Part_0027	Manuf_0042
Part_0027	Manuf_0044
Part_0027	Manuf_0046
Part_0027	Manuf_0047
Part_0028	Manuf_0048
Part_0028	Manuf_0049
Part_0028	Manuf_0050
Part_0029	Manuf_0048
Part_0029	Manuf_0049
Part_0029	Manuf_0050
Part_0030	Manuf_0052
Part_0031	Manuf_0052
Part_0031	Manuf_0053
Part_0031	Manuf_0054
Part_0031	Manuf_0055
Part_0031	Manuf_0056
Part_0032	Manuf_0052
Part_0032	Manuf_0053
Part_0032	Manuf_0054
Part_0032	Manuf_0055
Part_0032	Manuf_0056
Part_0033	Manuf_0052
Part_0033	Manuf_0053
Part_0033	Manuf_0054
Part_0033	Manuf_0055
Part_0033	Manuf_0056
Part_0034	Manuf_0052
Part_0034	Manuf_0053
Part_0034	Manuf_0054
Part_0034	Manuf_0055
Part_0034	Manuf_0056
Part_0035	Manuf_0052
Part_0035	Manuf_0053
Part_0035	Manuf_0054
Part_0035	Manuf_0055
Part_0035	Manuf_0056
Part_0036	Manuf_0052
Part_0036	Manuf_0053
Part_0036	Manuf_0054
Part_0036	Manuf_0055
Part_0036	Manuf_0056
Part_0037	Manuf_0052
Part_0037	Manuf_0053
Part_0037	Manuf_0054
Part_0037	Manuf_0055
Part_0037	Manuf_0056
Part_0038	Manuf_0052
Part_0038	Manuf_0053
Part_0038	Manuf_0054
Part_0038	Manuf_0055
Part_0038	Manuf_0056
Part_0039	Manuf_0052
Part_0039	Manuf_0053
Part_0039	Manuf_0054
Part_0039	Manuf_0055
Part_0039	Manuf_0056
Part_0040	Manuf_0053
Part_0041	Manuf_0053
Part_0041	Manuf_0054
Part_0041	Manuf_0055
