Manuf_0001	Retail_0001
Manuf_0002	Retail_0002
Manuf_0003	Retail_0003
Manuf_0004	Retail_0002
Manuf_0005	Retail_0003
Manuf_0006	Retail_0004
Manuf_0007	Retail_0004
Manuf_0008	Retail_0005
Manuf_0009	Retail_0005
Manuf_0010	Retail_0005
Manuf_0011	Retail_0006
Manuf_0012	Retail_0006
Manuf_0013	Retail_0007
Manuf_0014	Retail_0007
Manuf_0015	Retail_0009
Manuf_0016	Retail_0009
Manuf_0017	Retail_0008
Manuf_0018	Retail_0008
Manuf_0019	Retail_0010
Manuf_0020	Retail_0010
Manuf_0021	Retail_0010
Manuf_0022	Retail_0011
Manuf_0023	Retail_0011
Manuf_0024	Retail_0011
Manuf_0025	Retail_0012
Manuf_0026	Retail_0012
Manuf_0027	Retail_0013
Manuf_0028	Retail_0013
Manuf_0029	Retail_0014
Manuf_0030	Retail_0017
Manuf_0031	Retail_0017
Manuf_0032	Retail_0016
Manuf_0032	Retail_0017
Manuf_0033	Retail_0018
Manuf_0034	Retail_0018
Manuf_0035	Retail_0019
Manuf_0035	Retail_0020
Manuf_0036	Retail_0019
Manuf_0037	Retail_0020
Manuf_0038	Retail_0021
Manuf_0038	Retail_0022
Manuf_0039	Retail_0022
Manuf_0040	Retail_0022
Manuf_0041	Retail_0022
Manuf_0042	Retail_0022
Manuf_0043	Retail_0023
Manuf_0044	Retail_0023
Manuf_0045	Retail_0024
Manuf_0046	Retail_0025
Manuf_0047	Retail_0024
Manuf_0048	Retail_0025
Part_0001	Manuf_0001
Part_0001	Manuf_0002
Part_0001	Manuf_0003
Part_0001	Manuf_0006
Part_0001	Manuf_0009
Part_0001	Manuf_0011
Part_0001	Manuf_0013
Part_0001	Manuf_0014
Part_0001	Manuf_0015
Part_0001	Manuf_0017
Part_0001	Manuf_0018
Part_0001	Manuf_0020
Part_0001	Manuf_0023
Part_0001	Manuf_0037
Part_0001	Manuf_0043
Part_0002	Manuf_0001
Part_0002	Manuf_0002
Part_0002	Manuf_0003
Part_0002	Manuf_0006
Part_0002	Manuf_0009
Part_0002	Manuf_0011
Part_0002	Manuf_0012
Part_0002	Manuf_0013
Part_0002	Manuf_0015
Part_0002	Manuf_0017
Part_0002	Manuf_0019
Part_0002	Manuf_0020
Part_0002	Manuf_0025
Part_0002	Manuf_0027
Part_0002	Manuf_0029
Part_0002	Manuf_0031
Part_0002	Manuf_0033
Part_0002	Manuf_0034
Part_0002	Manuf_0036
